USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
380.00,0.4188,0.5974,0.4635,0.4635,0.5358,0.3572,0.4804,0.2402,0.4019,0.3464,0.3911,0.4804,0.5528,0.5974,0.4188,0.3741,0.6421,0.3464,0.3295,0.5697
381.00,0.3853,0.5566,0.4281,0.4651,0.5138,0.3795,0.4651,0.2510,0.3853,0.2997,0.3795,0.4281,0.5507,0.5566,0.3853,0.3425,0.5994,0.3367,0.2997,0.5138
382.00,0.3753,0.5770,0.4533,0.4165,0.5358,0.3709,0.4945,0.2473,0.3709,0.3297,0.3753,0.4165,0.5401,0.5770,0.4121,0.3341,0.5813,0.2885,0.2929,0.5358
383.00,0.4074,0.5649,0.4468,0.4194,0.5118,0.3543,0.4725,0.2362,0.3543,0.3287,0.4074,0.4468,0.5512,0.5649,0.4074,0.3681,0.6043,0.2893,0.3150,0.5256
384.00,0.4146,0.5876,0.4522,0.3992,0.4899,0.3392,0.4745,0.2484,0.3615,0.3392,0.4146,0.4745,0.5499,0.5876,0.4368,0.3992,0.6476,0.3238,0.3461,0.5722
385.00,0.3975,0.6084,0.4337,0.4277,0.5000,0.3253,0.4698,0.2530,0.3614,0.3554,0.3975,0.4698,0.5421,0.5782,0.4035,0.3975,0.6505,0.3554,0.3614,0.5782
386.00,0.3786,0.5852,0.4449,0.4475,0.5163,0.3469,0.4475,0.2410,0.3813,0.3098,0.3786,0.4475,0.5508,0.5852,0.4104,0.3760,0.6196,0.3442,0.3098,0.5481
387.00,0.3610,0.5579,0.4043,0.4266,0.4923,0.3610,0.4371,0.2297,0.3834,0.2954,0.3610,0.4266,0.5356,0.5579,0.3715,0.3387,0.5907,0.3282,0.2954,0.5028
388.00,0.3463,0.5175,0.4093,0.4093,0.4722,0.3463,0.4584,0.2204,0.3463,0.2833,0.3640,0.4093,0.5352,0.5352,0.3778,0.3463,0.5667,0.2971,0.2833,0.5037
389.00,0.3790,0.5535,0.4149,0.3908,0.4751,0.3306,0.4509,0.2346,0.3306,0.3189,0.3849,0.4149,0.5352,0.5352,0.3849,0.3548,0.5894,0.2947,0.3189,0.5051
390.00,0.3468,0.5483,0.4044,0.4031,0.4332,0.3167,0.4318,0.2015,0.3455,0.3167,0.3743,0.4318,0.5182,0.5483,0.3756,0.3743,0.6046,0.2892,0.2892,0.5196
391.00,0.3589,0.5601,0.4141,0.3945,0.4497,0.3117,0.4221,0.2012,0.3393,0.3037,0.3589,0.4141,0.5129,0.5601,0.3865,0.3589,0.5877,0.3037,0.3037,0.5245
392.00,0.3427,0.5396,0.3814,0.3955,0.4482,0.3164,0.4078,0.2109,0.3427,0.2760,0.3427,0.3955,0.5273,0.5396,0.3551,0.3287,0.5660,0.2900,0.2900,0.5009
393.00,0.3280,0.5241,0.3727,0.3784,0.4484,0.3027,0.3980,0.2018,0.3280,0.2718,0.3280,0.3784,0.5045,0.5045,0.3475,0.3223,0.5689,0.2775,0.2580,0.4793
394.00,0.3604,0.5292,0.3849,0.3845,0.4330,0.3127,0.4326,0.2161,0.3363,0.2887,0.3608,0.3849,0.5288,0.5051,0.3608,0.3368,0.5533,0.2882,0.2882,0.4811
395.00,0.3363,0.5216,0.3826,0.3594,0.4229,0.3071,0.4058,0.1913,0.3131,0.2900,0.3534,0.3886,0.4984,0.5044,0.3594,0.3363,0.5507,0.2668,0.2728,0.4813
396.00,0.3538,0.5529,0.3980,0.3870,0.4312,0.3207,0.4201,0.2101,0.3317,0.3096,0.3649,0.4201,0.5197,0.5418,0.3759,0.3538,0.5860,0.2986,0.3096,0.5197
397.00,0.3409,0.5698,0.3835,0.3835,0.4420,0.3037,0.4207,0.2130,0.3354,0.2983,0.3622,0.4048,0.5272,0.5326,0.3622,0.3567,0.5752,0.3141,0.2824,0.5113
398.00,0.3273,0.5524,0.3683,0.3885,0.4296,0.3066,0.3890,0.2046,0.3273,0.2864,0.3478,0.3887,0.5115,0.5317,0.3478,0.3276,0.5524,0.3069,0.2660,0.4910
399.00,0.3159,0.5285,0.3706,0.3751,0.4344,0.2961,0.4101,0.1929,0.3265,0.2567,0.3356,0.3706,0.5088,0.4936,0.3508,0.3159,0.5331,0.2764,0.2567,0.4890
400.00,0.3219,0.5118,0.3599,0.3699,0.4268,0.2939,0.3978,0.1799,0.3029,0.2559,0.3409,0.3599,0.4928,0.4928,0.3409,0.3219,0.5308,0.2749,0.2649,0.4738
401.00,0.3425,0.5385,0.3921,0.3660,0.4208,0.3059,0.4156,0.1961,0.3242,0.2824,0.3608,0.3921,0.5071,0.5071,0.3608,0.3425,0.5568,0.2745,0.2876,0.4888
402.00,0.3197,0.5486,0.3728,0.3544,0.4075,0.2842,0.3906,0.1779,0.3020,0.2665,0.3374,0.3898,0.4961,0.5131,0.3544,0.3367,0.5493,0.2658,0.2665,0.4784
403.00,0.3252,0.5374,0.3628,0.3765,0.4279,0.2944,0.3936,0.1883,0.3115,0.2738,0.3423,0.3936,0.4998,0.5169,0.3457,0.3252,0.5477,0.2909,0.2602,0.4963
404.00,0.3144,0.5460,0.3640,0.3714,0.4210,0.2978,0.3879,0.1893,0.3144,0.2574,0.3309,0.3806,0.5037,0.5056,0.3475,0.3144,0.5295,0.2739,0.2574,0.4798
405.00,0.3043,0.5285,0.3633,0.3683,0.4274,0.2993,0.3953,0.1922,0.3043,0.2512,0.3313,0.3573,0.4965,0.4914,0.3363,0.3043,0.5235,0.2672,0.2402,0.4644
406.00,0.3226,0.5247,0.3557,0.3701,0.4175,0.2938,0.4010,0.1856,0.3082,0.2618,0.3391,0.3690,0.4938,0.4794,0.3535,0.3082,0.5247,0.2629,0.2607,0.4628
407.00,0.3184,0.5315,0.3759,0.3635,0.4236,0.2883,0.3936,0.1830,0.3158,0.2733,0.3484,0.3811,0.4962,0.4864,0.3484,0.3334,0.5315,0.2733,0.2608,0.4713
408.00,0.3202,0.5446,0.3639,0.3639,0.4221,0.2911,0.3930,0.1832,0.3057,0.2766,0.3433,0.3930,0.4864,0.5009,0.3493,0.3348,0.5386,0.2766,0.2705,0.4803
409.00,0.3191,0.5536,0.3613,0.3705,0.4176,0.2909,0.3895,0.1782,0.3142,0.2676,0.3331,0.3895,0.4880,0.5021,0.3380,0.3239,0.5303,0.2768,0.2627,0.4740
410.00,0.3011,0.5450,0.3543,0.3679,0.4210,0.2861,0.3815,0.1894,0.3134,0.2589,0.3270,0.3693,0.4892,0.4905,0.3270,0.3134,0.5300,0.2725,0.2589,0.4633
411.00,0.3160,0.5417,0.3574,0.3818,0.4232,0.2897,0.3950,0.1956,0.3160,0.2520,0.3442,0.3705,0.5003,0.4872,0.3423,0.3160,0.5172,0.2633,0.2502,0.4627
