USPM-SA v1.01 ADDFILE 380-1050
Source3,(0:A,1:B,2:C,3:D65),ViewTrue,(True:2(CIE1931),False:10(CIE1964))
L*,4.9648,11.9271,8.4245,7.9955,12.3537,5.3541,7.6626,4.5824,3.8305,7.6422,5.6833,8.9079,5.1712,6.1687,5.3562,5.6678,11.8455,4.7239,4.7956,6.7934
a*,6.9662,3.0623,5.3359,5.2468,5.5263,5.3625,6.4555,5.1881,3.8978,5.6010,5.3815,4.9857,4.5015,6.6684,4.4159,4.4177,5.6781,5.1927,5.6225,6.8909
b*,4.2698,9.3845,8.4515,7.6050,12.8655,4.9939,7.2012,5.1594,1.9234,8.4824,4.6574,8.4888,2.2031,3.8733,4.0118,4.9040,11.4019,4.2845,4.6416,5.2077
x,0.4490,0.3962,0.4309,0.4253,0.4358,0.4385,0.4330,0.4655,0.3986,0.4456,0.4245,0.4229,0.3856,0.4126,0.4120,0.4211,0.4283,0.4403,0.4500,0.4224
y,0.3566,0.3869,0.3911,0.3863,0.4018,0.3745,0.3793,0.3881,0.3395,0.3996,0.3664,0.3885,0.3377,0.3472,0.3640,0.3754,0.3926,0.3693,0.3724,0.3600
HUE,31.5055,71.9275,57.7338,55.3973,66.7544,42.9617,48.1253,44.8411,26.2649,56.5629,40.8743,59.5730,26.0776,30.1499,42.2544,47.9864,63.5267,39.5258,39.5412,37.0793
CHROMA,8.1706,9.8715,9.9950,9.2393,14.0022,7.3278,9.6711,7.3169,4.3465,10.1647,7.1171,9.8446,5.0116,7.7117,5.9661,6.6004,12.7375,6.7321,7.2908,8.6374
AVERAGE,2.6304,2.5225,2.3111,2.1959,3.2930,2.0286,2.5225,1.9865,1.9214,2.2734,2.0566,2.4553,1.7923,2.5916,1.9526,1.6996,3.2134,1.9099,2.0098,2.5089
LUMINOUS,0.5496,1.3954,0.9335,0.8852,1.4603,0.5927,0.8483,0.5073,0.4241,0.8460,0.6292,0.9900,0.5725,0.6829,0.5930,0.6275,1.3832,0.5230,0.5309,0.7521
NO,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
DETAIL1,,,,,,,,,,,,,,,,,,,,
DETAIL2,,,,,,,,,,,,,,,,,,,,
DATE,25/03/02 13:24,25/03/02 13:25,25/03/02 13:26,25/03/02 13:26,25/03/02 13:27,25/03/02 13:28,25/03/02 13:29,25/03/02 13:29,25/03/02 13:31,25/03/02 13:31,25/03/02 13:32,25/03/02 13:32,25/03/02 13:34,25/03/02 13:34,25/03/02 13:35,25/03/02 13:36,25/03/02 13:37,25/03/02 13:37,25/03/02 13:38,25/03/02 13:38
