USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
380.00,1.5628,1.2225,0.6421,0.7591,0.8823,0.9546,0.9100,1.0100,0.5974,1.0270,1.0716,1.3565,1.4904,0.9377,0.8037,0.5528,0.9993,1.0439,0.7760,0.7591
381.00,1.5354,1.1560,0.5994,0.7648,0.8504,0.8991,0.8932,0.9847,0.5196,0.9478,1.0275,1.3583,1.4868,0.8621,0.8076,0.5138,0.9419,0.9847,0.7648,0.7278
382.00,1.5661,1.1539,0.6182,0.7418,0.8698,0.9110,0.9110,0.9523,0.5358,0.9523,1.0347,1.2776,1.4468,0.8655,0.7830,0.5358,0.9479,0.9523,0.7418,0.7050
383.00,1.5236,1.1299,0.6043,0.7087,0.8799,0.9193,0.9056,0.9587,0.5256,0.9587,1.0374,1.2343,1.4311,0.8405,0.7481,0.5256,0.9193,0.9724,0.7087,0.7087
384.00,1.5298,1.1752,0.6253,0.7007,0.8891,0.9268,0.8891,0.9422,0.5499,0.9645,1.0398,1.2506,1.4167,0.8737,0.7383,0.5499,0.9491,1.0022,0.7007,0.6784
385.00,1.5119,1.1866,0.6144,0.6867,0.8674,0.9035,0.8674,0.9035,0.5421,0.9698,1.0421,1.2589,1.3733,0.8674,0.7529,0.5120,0.9698,1.0059,0.7168,0.6807
386.00,1.5172,1.1704,0.5852,0.6911,0.8261,0.8606,0.8606,0.9294,0.5163,0.9294,0.9983,1.2418,1.3451,0.8261,0.7573,0.5137,0.9294,0.9638,0.7229,0.6884
387.00,1.4873,1.1158,0.5579,0.6892,0.7981,0.8309,0.8414,0.8966,0.4923,0.8861,0.9622,1.2143,1.3232,0.7877,0.7220,0.4595,0.8861,0.9189,0.6787,0.6564
388.00,1.4836,1.0881,0.5529,0.6611,0.8048,0.8186,0.8500,0.8815,0.4546,0.8677,0.9798,1.1649,1.2908,0.7556,0.7103,0.4584,0.8500,0.8992,0.6297,0.6473
389.00,1.4912,1.0762,0.5652,0.6554,0.8057,0.8299,0.8358,0.8658,0.4692,0.8900,0.9861,1.1605,1.2566,0.7698,0.6914,0.4751,0.8599,0.9201,0.6495,0.6312
390.00,1.4696,1.0953,0.5483,0.6334,0.8061,0.8349,0.8075,0.8362,0.4620,0.8664,0.9802,1.1543,1.2393,0.7512,0.6635,0.4620,0.8650,0.8938,0.6059,0.6059
391.00,1.4515,1.0846,0.5521,0.6153,0.7810,0.8086,0.8006,0.8362,0.4693,0.8754,0.9662,1.1674,1.2226,0.7730,0.6705,0.4693,0.8558,0.8914,0.6153,0.6153
392.00,1.4517,1.0686,0.5132,0.6204,0.7505,0.7909,0.7786,0.8173,0.4482,0.8173,0.9367,1.1477,1.1864,0.7382,0.6591,0.4341,0.8173,0.8700,0.6064,0.6064
393.00,1.4518,1.0539,0.4989,0.6250,0.7259,0.7568,0.7764,0.8016,0.4289,0.8016,0.9082,1.1100,1.1548,0.7064,0.6502,0.4036,0.8016,0.8325,0.5802,0.5998
394.00,1.4437,1.0343,0.5292,0.6014,0.7457,0.7697,0.7702,0.7938,0.4089,0.7938,0.9149,1.1065,1.1787,0.6976,0.6495,0.4093,0.7942,0.8423,0.5773,0.6009
395.00,1.4248,1.0139,0.5155,0.5910,0.7300,0.7592,0.7763,0.7763,0.4058,0.7823,0.9384,1.0774,1.1409,0.6837,0.6313,0.4289,0.7995,0.8458,0.5619,0.5679
396.00,1.4263,1.0393,0.5197,0.5970,0.7408,0.7850,0.7739,0.7850,0.4312,0.8182,0.9398,1.0836,1.1278,0.7077,0.6302,0.4422,0.8182,0.8624,0.5750,0.5860
397.00,1.4219,1.0543,0.5113,0.5911,0.7402,0.7669,0.7615,0.7669,0.4420,0.8096,0.9161,1.0811,1.1078,0.7030,0.6337,0.4420,0.8096,0.8522,0.5752,0.5752
398.00,1.4112,1.0229,0.4910,0.5931,0.7363,0.7365,0.7365,0.7567,0.4296,0.7774,0.8999,1.0838,1.1043,0.6751,0.6340,0.4094,0.7774,0.8183,0.5726,0.5726
399.00,1.4063,1.0221,0.4738,0.5877,0.6910,0.7305,0.7351,0.7654,0.3903,0.7502,0.8930,1.0464,1.0707,0.6470,0.6120,0.3903,0.7700,0.8095,0.5528,0.5680
400.00,1.3945,0.9866,0.4738,0.5598,0.6917,0.7207,0.7397,0.7397,0.3788,0.7487,0.8917,1.0246,1.0626,0.6258,0.5978,0.3878,0.7587,0.7967,0.5318,0.5408
401.00,1.3985,1.0091,0.5019,0.5620,0.7084,0.7398,0.7319,0.7450,0.3973,0.7633,0.8914,1.0195,1.0561,0.6483,0.6117,0.4156,0.7764,0.8130,0.5385,0.5568
402.00,1.3814,1.0093,0.4792,0.5493,0.6910,0.7265,0.7257,0.7265,0.3898,0.7612,0.8852,1.0093,1.0277,0.6379,0.5855,0.4075,0.7789,0.7974,0.5316,0.5323
403.00,1.3897,1.0132,0.4758,0.5511,0.6880,0.7222,0.7222,0.7222,0.3971,0.7530,0.8899,1.0166,1.0132,0.6503,0.6024,0.3936,0.7701,0.8044,0.5477,0.5340
404.00,1.3715,1.0001,0.4541,0.5534,0.6784,0.7115,0.7115,0.7188,0.3898,0.7354,0.8604,1.0093,1.0001,0.6288,0.5957,0.3806,0.7519,0.7777,0.5295,0.5295
405.00,1.3782,0.9879,0.4594,0.5445,0.6676,0.6996,0.7106,0.7156,0.3683,0.7207,0.8547,0.9879,0.9989,0.6086,0.5875,0.3683,0.7367,0.7637,0.5235,0.5235
406.00,1.3598,0.9732,0.4628,0.5402,0.6782,0.6948,0.7103,0.7103,0.3701,0.7246,0.8638,0.9732,0.9886,0.6020,0.5866,0.3844,0.7401,0.7710,0.5247,0.5247
407.00,1.3611,0.9826,0.4687,0.5315,0.6818,0.7093,0.7093,0.7093,0.3661,0.7394,0.8623,0.9676,0.9800,0.6217,0.5766,0.3811,0.7570,0.7721,0.5139,0.5139
