Data Generated by    ,Optosky
Save time:,2025/4/14 11:45:21
Material:, 
Integrate time:,7
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
186.059,-4.00
186.445,-4.00
186.832,-4.00
187.218,-4.00
187.604,-4.00
187.990,-4.00
188.377,-4.00
188.763,-4.00
189.149,-4.00
189.536,-5.00
189.922,-2.00
190.308,5.00
190.695,8.00
191.081,7.00
191.468,-5.00
191.855,-4.00
192.241,-5.00
192.628,-4.00
193.014,6.00
193.401,5.00
193.788,1.00
194.175,4.00
194.561,0.00
194.948,-6.00
195.335,-6.00
195.722,-14.00
196.109,-8.00
196.496,-13.00
196.883,-7.00
197.270,-9.00
197.657,-8.00
198.044,-13.00
198.431,-18.00
198.818,-11.00
199.205,-3.00
199.592,-4.00
199.979,-7.00
200.367,-1.00
200.754,10.00
201.141,3.00
201.529,1.00
201.916,-7.00
202.303,-11.00
202.691,-12.00
203.078,-9.00
203.466,-6.00
203.853,-10.00
204.241,0.00
204.628,0.00
205.016,-7.00
205.404,-13.00
205.791,-23.00
206.179,-29.00
206.567,-40.00
206.954,-28.00
207.342,-22.00
207.730,-10.00
208.118,-13.00
208.506,-16.00
208.894,-14.00
209.282,-8.00
209.670,-3.00
210.058,-2.00
210.446,-1.00
210.834,-1.00
211.222,-2.00
211.610,0.00
211.998,4.00
212.386,3.00
212.774,0.00
213.163,-4.00
213.551,-4.00
213.939,-9.00
214.328,-16.00
214.716,-14.00
215.104,-18.00
215.493,-25.00
215.881,-17.00
216.270,-18.00
216.658,-18.00
217.047,-21.00
217.435,-13.00
217.824,-10.00
218.213,1.00
218.601,0.00
218.990,1.00
219.379,2.00
219.767,6.00
220.156,10.00
220.545,12.00
220.934,1.00
221.323,-1.00
221.712,0.00
222.100,-6.00
222.489,-11.00
222.878,-10.00
223.267,-12.00
223.657,-10.00
224.046,-9.00
224.435,-15.00
224.824,-14.00
225.213,-16.00
225.602,-28.00
225.991,-24.00
226.381,-21.00
226.770,-27.00
227.159,-19.00
227.549,-21.00
227.938,-18.00
228.327,-12.00
228.717,0.00
229.106,4.00
229.496,0.00
229.885,-9.00
230.275,0.00
230.664,-2.00
231.054,-5.00
231.444,-7.00
231.833,4.00
232.223,3.00
232.613,-6.00
233.003,1.00
233.392,-1.00
233.782,-14.00
234.172,-6.00
234.562,-6.00
234.952,-7.00
235.342,-8.00
235.732,-9.00
236.122,-18.00
236.512,-16.00
236.902,-17.00
237.292,-10.00
237.682,2.00
238.072,6.00
238.462,6.00
238.852,15.00
239.243,10.00
239.633,-3.00
240.023,6.00
240.414,2.00
240.804,1.00
241.194,3.00
241.585,-5.00
241.975,4.00
242.366,-9.00
242.756,-5.00
243.147,-3.00
243.537,-9.00
243.928,-7.00
244.318,-10.00
244.709,-18.00
245.100,-18.00
245.490,-14.00
245.881,-9.00
246.272,-21.00
246.663,-12.00
247.053,-6.00
247.444,0.00
247.835,3.00
248.226,5.00
248.617,-6.00
249.008,-3.00
249.399,2.00
249.790,0.00
250.181,0.00
250.572,-7.00
250.963,0.00
251.354,6.00
251.745,2.00
252.137,-5.00
252.528,-5.00
252.919,-13.00
253.310,-15.00
253.702,-20.00
254.093,-20.00
254.484,-21.00
254.876,-23.00
255.267,-9.00
255.659,-13.00
256.050,-15.00
256.442,-13.00
256.833,-2.00
257.225,-3.00
257.616,2.00
258.008,2.00
258.399,0.00
258.791,0.00
259.183,0.00
259.575,-2.00
259.966,1.00
260.358,5.00
260.750,-1.00
261.142,-9.00
261.534,0.00
261.926,-5.00
262.317,-8.00
262.709,-17.00
263.101,-23.00
263.493,-19.00
263.885,-13.00
264.278,-9.00
264.670,-8.00
265.062,-16.00
265.454,-19.00
265.846,-14.00
266.238,-9.00
266.631,-9.00
267.023,0.00
267.415,1.00
267.807,-2.00
268.200,-5.00
268.592,1.00
268.985,0.00
269.377,-2.00
269.770,0.00
270.162,0.00
270.555,2.00
270.947,-2.00
271.340,7.00
