Data Generated by    ,Optosky
Save time:,2025/4/14 11:42:19
Material:, 
Integrate time:,7
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
186.059,65.00
186.445,65.00
186.832,65.00
187.218,65.00
187.604,65.00
187.990,65.00
188.377,65.00
188.763,65.00
189.149,65.00
189.536,53.00
189.922,45.00
190.308,42.00
190.695,38.00
191.081,40.00
191.468,29.00
191.855,39.00
192.241,41.00
192.628,54.00
193.014,57.00
193.401,65.00
193.788,75.00
194.175,77.00
194.561,73.00
194.948,77.00
195.335,75.00
195.722,80.00
196.109,65.00
196.496,53.00
196.883,50.00
197.270,59.00
197.657,66.00
198.044,67.00
198.431,64.00
198.818,71.00
199.205,79.00
199.592,70.00
199.979,58.00
200.367,44.00
200.754,34.00
201.141,27.00
201.529,40.00
201.916,51.00
202.303,53.00
202.691,55.00
203.078,56.00
203.466,63.00
203.853,56.00
204.241,49.00
204.628,58.00
205.016,61.00
205.404,69.00
205.791,73.00
206.179,82.00
206.567,68.00
206.954,53.00
207.342,55.00
207.730,61.00
208.118,52.00
208.506,52.00
208.894,56.00
209.282,56.00
209.670,50.00
210.058,52.00
210.446,43.00
210.834,51.00
211.222,38.00
211.610,44.00
211.998,49.00
212.386,60.00
212.774,71.00
213.163,71.00
213.551,69.00
213.939,66.00
214.328,70.00
214.716,74.00
215.104,55.00
215.493,53.00
215.881,56.00
216.270,68.00
216.658,69.00
217.047,63.00
217.435,59.00
217.824,54.00
218.213,52.00
218.601,43.00
218.990,45.00
219.379,49.00
219.767,60.00
220.156,48.00
220.545,50.00
220.934,55.00
221.323,60.00
221.712,54.00
222.100,60.00
222.489,65.00
222.878,70.00
223.267,70.00
223.657,67.00
224.046,74.00
224.435,69.00
224.824,66.00
225.213,60.00
225.602,68.00
225.991,75.00
226.381,77.00
226.770,60.00
227.159,65.00
227.549,59.00
227.938,53.00
228.327,41.00
228.717,49.00
229.106,59.00
229.496,56.00
229.885,46.00
230.275,54.00
230.664,52.00
231.054,49.00
231.444,50.00
231.833,62.00
232.223,76.00
232.613,70.00
233.003,65.00
233.392,63.00
233.782,70.00
234.172,81.00
234.562,80.00
234.952,82.00
235.342,74.00
235.732,69.00
236.122,69.00
236.512,63.00
236.902,57.00
237.292,54.00
237.682,53.00
238.072,52.00
238.462,56.00
238.852,51.00
239.243,51.00
239.633,53.00
240.023,51.00
240.414,53.00
240.804,53.00
241.194,62.00
241.585,64.00
241.975,66.00
242.366,78.00
242.756,82.00
243.147,78.00
243.537,73.00
243.928,75.00
244.318,75.00
244.709,63.00
245.100,62.00
245.490,71.00
245.881,65.00
246.272,71.00
246.663,70.00
247.053,76.00
247.444,70.00
247.835,60.00
248.226,44.00
248.617,38.00
249.008,42.00
249.399,45.00
249.790,44.00
250.181,53.00
250.572,62.00
250.963,67.00
251.354,68.00
251.745,66.00
252.137,73.00
252.528,75.00
252.919,70.00
253.310,71.00
253.702,63.00
254.093,59.00
254.484,65.00
254.876,72.00
255.267,65.00
255.659,60.00
256.050,60.00
256.442,52.00
256.833,51.00
257.225,46.00
257.616,37.00
258.008,36.00
258.399,47.00
258.791,43.00
259.183,44.00
259.575,42.00
259.966,46.00
260.358,47.00
260.750,62.00
261.142,67.00
261.534,64.00
261.926,72.00
262.317,78.00
262.709,78.00
263.101,78.00
263.493,64.00
263.885,65.00
264.278,57.00
264.670,55.00
265.062,60.00
265.454,52.00
265.846,47.00
266.238,55.00
266.631,54.00
267.023,52.00
267.415,43.00
267.807,46.00
268.200,42.00
268.592,49.00
268.985,60.00
269.377,54.00
269.770,55.00
270.162,65.00
270.555,76.00
270.947,83.00
271.340,83.00
271.732,84.00
272.125,83.00
272.518,92.00
272.910,82.00
273.303,72.00
273.696,63.00
274.089,60.00
274.481,48.00
274.874,63.00
275.267,71.00
275.660,65.00
276.053,68.00
276.446,61.00
276.839,53.00
277.232,47.00
277.625,45.00
278.018,45.00
278.411,43.00
278.804,50.00
279.197,65.00
279.590,71.00
279.984,77.00
280.377,72.00
280.770,71.00
281.163,79.00
281.557,82.00
281.950,76.00
282.343,67.00
282.737,65.00
283.130,75.00
283.524,65.00
283.917,69.00
284.311,73.00
284.704,63.00
285.098,56.00
285.491,55.00
285.885,61.00
286.279,58.00
286.672,53.00
287.066,39.00
287.460,41.00
287.853,41.00
288.247,51.00
288.641,46.00
289.035,48.00
289.429,50.00
289.823,64.00
290.217,71.00
290.611,74.00
291.004,75.00
291.398,72.00
291.793,75.00
292.187,80.00
292.581,84.00
292.975,81.00
293.369,72.00
293.763,67.00
294.157,70.00
294.551,65.00
294.946,56.00
295.340,52.00
295.734,57.00
296.129,53.00
296.523,47.00
296.917,50.00
297.312,52.00
297.706,56.00
298.101,58.00
298.495,65.00
298.890,61.00
299.284,72.00
299.679,75.00
300.073,80.00
300.468,75.00
300.863,70.00
301.257,72.00
301.652,80.00
302.047,73.00
302.442,67.00
302.836,71.00
303.231,70.00
303.626,63.00
304.021,66.00
304.416,57.00
304.811,50.00
305.206,43.00
305.601,49.00
305.996,47.00
306.391,40.00
306.786,41.00
307.181,48.00
307.576,52.00
307.971,60.00
308.366,64.00
308.762,62.00
309.157,62.00
309.552,60.00
309.947,58.00
310.343,62.00
310.738,62.00
311.133,68.00
311.529,84.00
311.924,79.00
312.320,76.00
312.715,85.00
313.111,87.00
313.506,80.00
313.902,69.00
314.297,62.00
314.693,68.00
315.088,57.00
315.484,51.00
315.880,52.00
316.276,55.00
316.671,51.00
317.067,54.00
317.463,53.00
317.859,53.00
318.254,70.00
318.650,70.00
319.046,64.00
319.442,68.00
319.838,67.00
320.234,73.00
320.630,74.00
321.026,72.00
321.422,73.00
321.818,71.00
322.214,76.00
322.610,90.00
323.007,85.00
323.403,80.00
323.799,77.00
324.195,73.00
324.592,64.00
324.988,75.00
325.384,61.00
325.781,62.00
326.177,59.00
326.573,68.00
326.970,65.00
327.366,54.00
327.763,69.00
328.159,81.00
328.556,73.00
328.952,68.00
329.349,71.00
329.745,77.00
330.142,88.00
330.539,90.00
330.935,90.00
331.332,97.00
331.729,92.00
332.126,83.00
332.522,86.00
332.919,87.00
333.316,89.00
333.713,90.00
334.110,68.00
334.507,60.00
334.904,66.00
335.301,62.00
335.698,57.00
336.095,64.00
336.492,61.00
336.889,57.00
337.286,61.00
337.683,71.00
338.080,76.00
338.477,75.00
338.875,70.00
339.272,73.00
339.669,82.00
340.066,86.00
340.464,91.00
340.861,94.00
341.258,91.00
341.656,85.00
342.053,76.00
342.451,68.00
342.848,69.00
343.246,71.00
343.643,80.00
344.041,77.00
344.438,66.00
344.836,62.00
345.233,61.00
345.631,61.00
346.029,57.00
346.427,51.00
346.824,53.00
347.222,53.00
347.620,60.00
348.018,62.00
348.415,68.00
348.813,69.00
349.211,82.00
349.609,88.00
350.007,83.00
350.405,94.00
350.803,101.00
351.201,97.00
351.599,95.00
351.997,91.00
352.395,84.00
352.793,85.00
353.191,80.00
353.589,80.00
353.988,77.00
354.386,69.00
354.784,63.00
355.182,58.00
355.581,55.00
355.979,55.00
356.377,62.00
356.776,65.00
357.174,69.00
357.573,78.00
357.971,77.00
358.369,92.00
358.768,95.00
359.166,92.00
359.565,95.00
359.964,92.00
360.362,83.00
360.761,87.00
361.159,86.00
361.558,82.00
361.957,75.00
362.355,76.00
362.754,79.00
363.153,78.00
363.552,67.00
363.951,69.00
364.349,69.00
364.748,72.00
365.147,67.00
365.546,68.00
365.945,77.00
366.344,85.00
366.743,73.00
367.142,81.00
367.541,91.00
367.940,91.00
368.339,85.00
368.738,90.00
369.137,90.00
369.537,100.00
369.936,105.00
370.335,106.00
370.734,113.00
371.134,108.00
371.533,98.00
371.932,94.00
372.332,107.00
372.731,116.00
373.130,117.00
373.530,120.00
373.929,120.00
374.329,119.00
374.728,115.00
375.128,121.00
375.527,118.00
375.927,127.00
376.326,141.00
376.726,152.00
377.126,155.00
377.525,158.00
377.925,165.00
378.325,162.00
378.724,157.00
379.124,153.00
379.524,152.00
379.924,161.00
380.324,186.00
380.723,189.00
381.123,176.00
381.523,191.00
381.923,183.00
382.323,195.00
382.723,210.00
383.123,206.00
383.523,198.00
383.923,197.00
384.323,186.00
384.723,183.00
385.124,187.00
385.524,194.00
385.924,193.00
386.324,206.00
386.724,215.00
387.125,227.00
387.525,248.00
387.925,268.00
388.325,303.00
388.726,354.00
389.126,387.00
389.527,422.00
389.927,467.00
390.327,508.00
390.728,533.00
391.128,542.00
391.529,574.00
391.929,621.00
392.330,638.00
392.731,659.00
393.131,677.00
393.532,710.00
393.933,733.00
394.333,732.00
394.734,735.00
395.135,755.00
395.535,795.00
395.936,831.00
396.337,846.00
396.738,890.00
397.139,944.00
397.540,965.00
397.941,990.00
398.341,1021.00
398.742,1062.00
399.143,1108.00
399.544,1142.00
399.945,1197.00
400.346,1251.00
400.748,1268.00
401.149,1296.00
401.550,1328.00
401.951,1374.00
402.352,1420.00
402.753,1431.00
403.154,1460.00
403.556,1490.00
403.957,1491.00
404.358,1496.00
404.760,1524.00
405.161,1579.00
405.562,1604.00
405.964,1605.00
406.365,1610.00
406.766,1639.00
407.168,1668.00
407.569,1685.00
407.971,1726.00
408.372,1749.00
408.774,1760.00
409.176,1796.00
409.577,1825.00
409.979,1840.00
410.380,1869.00
410.782,1908.00
411.184,1946.00
411.586,1958.00
411.987,1995.00
412.389,2046.00
412.791,2045.00
413.193,2033.00
413.594,2060.00
413.996,2086.00
414.398,2098.00
414.800,2133.00
415.202,2160.00
415.604,2172.00
416.006,2207.00
416.408,2223.00
416.810,2239.00
417.212,2266.00
417.614,2286.00
418.016,2313.00
418.418,2336.00
418.820,2387.00
419.223,2404.00
419.625,2408.00
420.027,2467.00
420.429,2495.00
420.831,2513.00
421.234,2553.00
421.636,2583.00
422.038,2588.00
422.441,2620.00
422.843,2650.00
423.245,2650.00
423.648,2678.00
424.050,2701.00
424.453,2685.00
424.855,2707.00
425.258,2730.00
425.660,2741.00
426.063,2758.00
426.465,2781.00
426.868,2832.00
427.271,2870.00
427.673,2892.00
428.076,2901.00
428.479,2876.00
428.881,2914.00
429.284,2936.00
429.687,2937.00
430.090,2975.00
430.492,3004.00
430.895,3015.00
431.298,3031.00
431.701,3045.00
432.104,3062.00
432.507,3120.00
432.910,3165.00
433.313,3171.00
433.716,3205.00
434.119,3232.00
434.522,3247.00
434.925,3214.00
435.328,3218.00
435.731,3252.00
436.134,3262.00
436.537,3308.00
436.941,3357.00
437.344,3386.00
437.747,3429.00
438.150,3431.00
438.553,3479.00
438.957,3532.00
439.360,3556.00
439.763,3560.00
440.167,3592.00
440.570,3645.00
440.974,3673.00
441.377,3690.00
441.780,3718.00
442.184,3753.00
442.587,3777.00
442.991,3798.00
443.394,3838.00
443.798,3877.00
444.202,3915.00
444.605,3949.00
445.009,3974.00
445.412,3955.00
445.816,3974.00
446.220,4003.00
446.624,4068.00
447.027,4108.00
447.431,4141.00
447.835,4174.00
448.239,4210.00
448.642,4250.00
449.046,4277.00
449.450,4324.00
449.854,4346.00
450.258,4386.00
450.662,4461.00
451.066,4525.00
451.470,4565.00
451.874,4610.00
452.278,4649.00
452.682,4668.00
453.086,4665.00
453.490,4723.00
453.894,4769.00
454.298,4761.00
454.703,4779.00
455.107,4812.00
455.511,4872.00
455.915,4937.00
456.319,4967.00
456.724,4986.00
457.128,5027.00
457.532,5083.00
457.937,5157.00
458.341,5205.00
458.745,5236.00
459.150,5314.00
459.554,5344.00
459.959,5354.00
460.363,5320.00
460.768,5372.00
461.172,5531.00
461.577,5631.00
461.981,5637.00
462.386,5653.00
462.790,5679.00
463.195,5687.00
463.600,5717.00
464.004,5801.00
464.409,5848.00
464.814,5884.00
465.219,5941.00
465.623,5981.00
466.028,6053.00
466.433,6145.00
466.838,6242.00
467.242,6271.00
467.647,6337.00
468.052,6419.00
468.457,6475.00
468.862,6553.00
469.267,6612.00
469.672,6645.00
470.077,6689.00
470.482,6761.00
470.887,6879.00
471.292,6911.00
471.697,6897.00
472.102,6921.00
472.507,6973.00
472.913,7027.00
473.318,7132.00
473.723,7249.00
474.128,7257.00
474.533,7282.00
474.939,7305.00
475.344,7377.00
475.749,7524.00
476.155,7641.00
476.560,7718.00
476.965,7750.00
477.371,7851.00
477.776,7928.00
478.181,8023.00
478.587,8177.00
478.992,8260.00
479.398,8298.00
479.803,8384.00
480.209,8491.00
480.614,8626.00
481.020,8737.00
481.426,8781.00
481.831,8789.00
482.237,8804.00
482.643,8867.00
483.048,8925.00
483.454,8998.00
483.860,9133.00
484.265,9254.00
484.671,9293.00
485.077,9289.00
485.483,9313.00
485.889,9370.00
486.294,9501.00
486.700,9630.00
487.106,9775.00
487.512,9848.00
487.918,9985.00
488.324,10111.00
488.730,10174.00
489.136,10186.00
489.542,10351.00
489.948,10406.00
490.354,10554.00
490.760,10613.00
491.166,10621.00
491.573,10662.00
491.979,10790.00
492.385,10852.00
492.791,10885.00
493.197,10888.00
493.603,10852.00
494.010,10882.00
494.416,11015.00
494.822,11088.00
495.229,11121.00
495.635,11106.00
496.041,11137.00
496.448,11162.00
496.854,11186.00
497.260,11225.00
497.667,11333.00
498.073,11445.00
498.480,11496.00
498.886,11538.00
499.293,11638.00
499.699,11587.00
500.106,11557.00
500.513,11613.00
500.919,11659.00
501.326,11660.00
501.732,11721.00
502.139,11764.00
502.546,11779.00
502.953,11826.00
503.359,11896.00
503.766,11854.00
504.173,11832.00
504.580,11810.00
504.986,11751.00
505.393,11617.00
505.800,11678.00
506.207,11744.00
506.614,11712.00
507.021,11634.00
507.428,11504.00
507.835,11427.00
508.242,11487.00
508.649,11514.00
509.056,11509.00
509.463,11478.00
509.870,11522.00
510.277,11461.00
510.684,11479.00
511.091,11459.00
511.498,11388.00
511.905,11234.00
512.313,11242.00
512.720,11245.00
513.127,11224.00
513.534,11256.00
513.941,11236.00
514.349,11190.00
514.756,11190.00
515.163,11162.00
515.571,11095.00
515.978,10983.00
516.385,11011.00
516.793,10950.00
517.200,10951.00
517.608,10933.00
518.015,10954.00
518.423,10833.00
518.830,10731.00
519.238,10675.00
519.645,10649.00
520.053,10629.00
520.460,10633.00
520.868,10613.00
521.276,10620.00
521.683,10704.00
522.091,10653.00
522.499,10559.00
522.906,10558.00
523.314,10557.00
523.722,10560.00
524.129,10598.00
524.537,10620.00
524.945,10678.00
525.353,10635.00
525.761,10578.00
526.169,10638.00
526.576,10698.00
526.984,10630.00
527.392,10501.00
527.800,10518.00
528.208,10522.00
528.616,10565.00
529.024,10476.00
529.432,10506.00
529.840,10505.00
530.248,10404.00
530.656,10352.00
531.065,10376.00
531.473,10438.00
531.881,10480.00
532.289,10458.00
532.697,10509.00
533.105,10519.00
533.514,10576.00
533.922,10680.00
534.330,10722.00
534.738,10660.00
535.147,10564.00
535.555,10482.00
535.963,10511.00
536.372,10584.00
536.780,10713.00
537.188,10745.00
537.597,10697.00
538.005,10696.00
538.414,10785.00
538.822,10849.00
539.231,10845.00
539.639,10793.00
540.048,10867.00
540.456,10925.00
540.865,10948.00
541.273,10983.00
541.682,11067.00
542.091,11199.00
542.499,11386.00
542.908,11310.00
543.317,11298.00
543.725,11334.00
544.134,11411.00
544.543,11425.00
544.952,11467.00
545.360,11523.00
545.769,11572.00
546.178,11552.00
546.587,11636.00
546.996,11721.00
547.405,11753.00
547.814,11853.00
548.222,11929.00
548.631,11993.00
549.040,12133.00
549.449,12205.00
549.858,12329.00
550.267,12399.00
550.676,12639.00
551.085,12738.00
551.494,12813.00
551.904,12798.00
552.313,12774.00
552.722,12881.00
553.131,12960.00
553.540,12998.00
553.949,13182.00
554.359,13360.00
554.768,13447.00
555.177,13579.00
555.586,13707.00
555.995,13878.00
556.405,13995.00
556.814,14064.00
557.224,14070.00
557.633,14106.00
558.042,14206.00
558.452,14336.00
558.861,14490.00
559.270,14682.00
559.680,14864.00
560.089,14964.00
560.499,15123.00
560.908,15369.00
561.318,15496.00
561.727,15644.00
562.137,15920.00
562.547,15988.00
562.956,16127.00
563.366,16474.00
563.775,16765.00
564.185,16918.00
564.595,17056.00
565.004,17370.00
565.414,17661.00
565.824,17869.00
566.234,18191.00
566.643,18433.00
567.053,18641.00
567.463,18798.00
567.873,19085.00
568.283,19396.00
568.693,19630.00
569.102,19857.00
569.512,20078.00
569.922,20344.00
570.332,20595.00
570.742,20882.00
571.152,21207.00
571.562,21583.00
571.972,21875.00
572.382,22035.00
572.792,22130.00
573.202,22336.00
573.612,22463.00
574.022,22781.00
574.433,23272.00
574.843,23689.00
575.253,23871.00
575.663,24037.00
576.073,24120.00
576.483,24225.00
576.894,24353.00
577.304,24563.00
577.714,24862.00
578.124,25161.00
578.535,25576.00
578.945,25957.00
579.355,26336.00
579.766,26618.00
580.176,26890.00
580.587,27108.00
580.997,27332.00
581.407,27504.00
581.818,27690.00
582.228,27966.00
582.639,28245.00
583.049,28532.00
