Data Generated by    ,Optosky
Save time:,2025/4/16 15:21:15
Material:, 
Integrate time:,12
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
186.059,4.00
186.445,4.00
186.832,4.00
187.218,4.00
187.604,4.00
187.990,4.00
188.377,4.00
188.763,4.00
189.149,4.00
189.536,9.00
189.922,21.00
190.308,28.00
190.695,31.00
191.081,30.00
191.468,33.00
191.855,26.00
192.241,17.00
192.628,31.00
193.014,34.00
193.401,26.00
193.788,22.00
194.175,20.00
194.561,32.00
194.948,22.00
195.335,19.00
195.722,23.00
196.109,20.00
196.496,15.00
196.883,9.00
197.270,11.00
197.657,8.00
198.044,5.00
198.431,5.00
198.818,13.00
199.205,24.00
199.592,23.00
199.979,22.00
200.367,27.00
200.754,29.00
201.141,28.00
201.529,34.00
201.916,26.00
202.303,31.00
202.691,29.00
203.078,20.00
203.466,25.00
203.853,25.00
204.241,18.00
204.628,21.00
205.016,26.00
205.404,31.00
205.791,21.00
206.179,8.00
206.567,1.00
206.954,0.00
207.342,1.00
207.730,-4.00
208.118,1.00
208.506,8.00
208.894,8.00
209.282,14.00
209.670,13.00
210.058,10.00
210.446,11.00
210.834,11.00
211.222,12.00
211.610,25.00
211.998,32.00
212.386,35.00
212.774,31.00
213.163,23.00
213.551,19.00
213.939,24.00
214.328,20.00
214.716,12.00
215.104,6.00
215.493,1.00
215.881,2.00
216.270,0.00
216.658,-2.00
217.047,-6.00
217.435,0.00
217.824,3.00
218.213,4.00
218.601,10.00
218.990,14.00
219.379,21.00
219.767,17.00
220.156,21.00
220.545,18.00
220.934,19.00
221.323,19.00
221.712,27.00
222.100,20.00
222.489,13.00
222.878,10.00
223.267,11.00
223.657,8.00
224.046,11.00
224.435,13.00
224.824,10.00
225.213,6.00
225.602,-11.00
225.991,-5.00
226.381,-4.00
226.770,-1.00
227.159,1.00
227.549,10.00
227.938,16.00
228.327,14.00
228.717,12.00
229.106,10.00
229.496,9.00
229.885,16.00
230.275,17.00
230.664,14.00
231.054,4.00
231.444,3.00
231.833,8.00
232.223,9.00
232.613,9.00
233.003,12.00
233.392,14.00
233.782,14.00
234.172,11.00
234.562,0.00
234.952,0.00
235.342,-5.00
235.732,-11.00
236.122,-12.00
236.512,-2.00
236.902,-15.00
237.292,-9.00
237.682,-2.00
238.072,5.00
238.462,13.00
238.852,14.00
239.243,6.00
239.633,7.00
240.023,15.00
240.414,16.00
240.804,19.00
241.194,25.00
241.585,19.00
241.975,29.00
242.366,33.00
242.756,28.00
243.147,22.00
243.537,17.00
243.928,6.00
244.318,-1.00
244.709,-6.00
245.100,-6.00
245.490,-7.00
245.881,-8.00
246.272,-5.00
246.663,7.00
247.053,11.00
247.444,10.00
247.835,13.00
248.226,11.00
248.617,14.00
249.008,21.00
249.399,13.00
249.790,12.00
250.181,14.00
250.572,15.00
250.963,20.00
251.354,23.00
251.745,20.00
252.137,16.00
252.528,16.00
252.919,16.00
253.310,8.00
253.702,5.00
254.093,2.00
254.484,9.00
254.876,0.00
255.267,0.00
255.659,-11.00
256.050,-5.00
256.442,-3.00
256.833,6.00
257.225,17.00
257.616,17.00
258.008,7.00
258.399,21.00
258.791,22.00
259.183,27.00
