USPM-SA v1.01 ADDFILE 380-1050
Source3,(0:A,1:B,2:C,3:D65),ViewTrue,(True:2(CIE1931),False:10(CIE1964))
L*,4.3087,2.2455,3.5109,4.2943,3.6679,2.8061,4.2738,3.9056,3.4560,3.1977,3.5588,3.7125,3.6683,3.3908,3.6130,3.3313,2.6791,3.8347,3.1117,2.3708
a*,-1.3126,-0.4767,-0.8871,-1.0417,-1.1692,-0.7273,-1.0335,-0.8557,-0.9858,-0.7628,-0.7702,-1.2894,-0.9206,-0.8064,-1.1098,-1.2141,-0.4193,-0.9362,-0.4929,-0.1794
b*,-3.9967,-3.0706,-2.9794,-3.5136,-2.9118,-3.0782,-3.2959,-3.0244,-3.4373,-3.3916,-3.8110,-3.5060,-3.9578,-2.7948,-3.0515,-3.9952,-2.9116,-3.0524,-3.4476,-3.1444
x,0.2481,0.2342,0.2541,0.2559,0.2535,0.2429,0.2582,0.2591,0.2461,0.2454,0.2460,0.2454,0.2441,0.2559,0.2517,0.2340,0.2480,0.2569,0.2470,0.2417
y,0.2811,0.2593,0.2842,0.2855,0.2882,0.2721,0.2880,0.2874,0.2775,0.2735,0.2727,0.2810,0.2728,0.2851,0.2853,0.2691,0.2709,0.2867,0.2700,0.2591
HUE,251.8189,261.1758,253.4197,253.4870,248.1225,256.7062,252.5902,254.2029,253.9981,257.3241,258.5741,249.8081,256.9060,253.9041,250.0138,253.0967,261.8050,252.9484,261.8637,266.7337
CHROMA,4.2067,3.1074,3.1086,3.6648,3.1378,3.1630,3.4542,3.1431,3.5759,3.4763,3.8881,3.7356,4.0635,2.9088,3.2470,4.1756,2.9416,3.1927,3.4827,3.1495
AVERAGE,0.6867,0.4228,0.5300,0.5903,0.5267,0.4801,0.5879,0.5381,0.5239,0.5047,0.5625,0.5444,0.5387,0.4563,0.4413,0.4878,0.4781,0.5091,0.4927,0.4172
LUMINOUS,0.4770,0.2486,0.3887,0.4754,0.4061,0.3107,0.4731,0.4324,0.3826,0.3540,0.3940,0.4110,0.4061,0.3754,0.4000,0.3688,0.2966,0.4245,0.3445,0.2625
NO,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
DETAIL1,,,,,,,,,,,,,,,,,,,,
DETAIL2,,,,,,,,,,,,,,,,,,,,
DATE,25/03/02 13:14,25/03/02 13:14,25/03/02 13:15,25/03/02 13:15,25/03/02 13:16,25/03/02 13:16,25/03/02 13:17,25/03/02 13:17,25/03/02 13:18,25/03/02 13:18,25/03/02 13:19,25/03/02 13:19,25/03/02 13:20,25/03/02 13:20,25/03/02 13:21,25/03/02 13:21,25/03/02 13:21,25/03/02 13:22,25/03/02 13:23,25/03/02 13:23
